RDSI ID,Road Type,Road Name,Road Width (m),Road Length (m),Road Median Available,Road Pedestrian Available,Road Street Light Available,Road under ground Available,Road Bus Shelter Available
1000830300047,ULB ROAD,PAVALAM STREET - I,10.98,35.42,Not Available,Not Available,Not Available,Available,Not Available
1000830300048,ULB ROAD,KARUPPANNAN STREET,13.69,64.33,Not Available,Not Available,Available,Available,Not Available
1000830300049,ULB ROAD,RAJA STREET,3.09,103.79,Not Available,Not Available,Available,Not Available,Not Available
1000830300050,ULB ROAD,KARUPPANNAN STREET,11.34,83.89,Not Available,Not Available,Available,Available,Not Available
1000830300051,ULB ROAD,BIG BAZAR STREET,8.33,280.64,Not Available,Not Available,Available,Available,Not Available
1000830300057,ULB ROAD,UPPU KINARU LANE,2.59,190.98,Not Available,Not Available,Available,Not Available,Not Available
1000830300058,ULB ROAD,RANGAI STREET,8.56,69.85,Not Available,Not Available,Available,Available,Not Available
1000830300060,ULB ROAD,THIYAGARAYAR STREET,7.88,69.25,Not Available,Not Available,Available,Available,Not Available
1000830300061,ULB ROAD,T K MARKET,6.87,67.47,Not Available,Not Available,Available,Available,Not Available
1000740300030,ULB ROAD,BHARATHI NAGAR,16.26,30.76,Not Available,Not Available,Available,Not Available,Not Available
1000740300031,ULB ROAD,BHARATHI NAGAR,15.66,24.41,Not Available,Not Available,Not Available,Not Available,Not Available
1000570300114,ULB ROAD,MASAKALI PALAYAM ROAD,8.66,9.14,Not Available,Not Available,Available,Not Available,Not Available
1000570300116,ULB ROAD,MASAKALI PALAYAM ROAD,7.57,27.94,Not Available,Not Available,Available,Not Available,Not Available
1000860300002,ULB ROAD,UKKADAM BYPASS ROAD,10.08,346.95,Not Available,Not Available,Available,Not Available,Not Available
1000750300271,ULB ROAD,VALLAL NAGAR,4.58,114.18,Not Available,Not Available,Not Available,Not Available,Not Available
1000860300468,ULB ROAD,FATHIMA NAGAR,7.60,1.81,Not Available,Not Available,Not Available,Not Available,Not Available
1000830300062,ULB ROAD,RAJA STREET,10.46,76.39,Not Available,Not Available,Available,Available,Not Available
1000830300067,ULB ROAD,PAVALAM STREET - II,5.48,206.90,Not Available,Not Available,Available,Available,Not Available
1000830300068,ULB ROAD,PAVALAM STREET - I,6.06,172.73,Not Available,Not Available,Available,Available,Not Available
1000830300070,ULB ROAD,MUTHU VINAYAGAR STREET,7.33,8.93,Not Available,Not Available,Not Available,Available,Not Available
1000830300071,ULB ROAD,VAIRAM STREET,15.63,112.58,Not Available,Not Available,Available,Available,Not Available
1000830300072,ULB ROAD,MUTHU VINAYAGAR STREET,7.33,61.13,Not Available,Not Available,Available,Available,Not Available
1000830300073,ULB ROAD,MUTHU VINAYAGAR STREET,6.83,94.22,Not Available,Not Available,Available,Available,Not Available
1000830300074,ULB ROAD,BIG BAZAR STREET,8.65,202.05,Not Available,Not Available,Available,Available,Not Available
1000830300075,ULB ROAD,BIG BAZAR STREET,10.02,115.84,Not Available,Not Available,Available,Available,Not Available
1000830300078,ULB ROAD,RANGAI STREET,5.64,87.37,Not Available,Not Available,Available,Available,Not Available
1000830300080,ULB ROAD,VAIRAM STREET,1.88,77.56,Not Available,Not Available,Available,Available,Not Available
1000830300081,ULB ROAD,T K MARKET,7.42,19.97,Not Available,Not Available,Available,Available,Not Available
1000830300083,ULB ROAD,RANGAI STREET,1.69,85.93,Not Available,Not Available,Available,Available,Not Available
1000830300084,ULB ROAD,RANGAI STREET,7.87,28.43,Not Available,Not Available,Not Available,Available,Not Available
1000830300085,ULB ROAD,BIG BAZAR STREET,11.11,75.66,Not Available,Not Available,Available,Available,Not Available
1000830300086,ULB ROAD,VAISYAL STREET,12.48,95.32,Not Available,Not Available,Available,Available,Not Available
1000830300087,ULB ROAD,VAISYAL STREET,12.48,138.31,Not Available,Not Available,Available,Available,Not Available
1000830300088,ULB ROAD,RANGAI STREET,5.99,98.48,Not Available,Not Available,Available,Available,Not Available
1000830300089,ULB ROAD,THIYAGARAYAR STREET,8.24,52.27,Not Available,Not Available,Available,Available,Not Available
1000830300090,ULB ROAD,BIG BAZAR STREET,9.36,89.49,Not Available,Not Available,Available,Not Available,Not Available
1000830300091,ULB ROAD,VAISYAL STREET,12.36,117.84,Not Available,Not Available,Available,Available,Not Available
1000830300092,ULB ROAD,RAJA STREET,15.11,57.28,Not Available,Not Available,Available,Available,Not Available
1000830300096,ULB ROAD,RANGAI STREET,6.96,80.86,Not Available,Not Available,Available,Available,Not Available
1000830300097,ULB ROAD,RAJA STREET,7.53,162.52,Not Available,Not Available,Available,Available,Not Available
1000830300098,ULB ROAD,RAJA STREET,10.69,75.73,Not Available,Not Available,Available,Available,Not Available
1000740300032,ULB ROAD,BHARATHI NAGAR,16.14,29.43,Not Available,Not Available,Available,Not Available,Not Available
1000570300117,ULB ROAD,PERIYAR NAGAR,5.29,43.86,Not Available,Not Available,Not Available,Not Available,Not Available
1000570300118,ULB ROAD,SUBBAIYA STREET,4.47,57.06,Not Available,Not Available,Not Available,Not Available,Not Available
1000570300119,ULB ROAD,NARAYANAN STREET,5.18,27.96,Not Available,Not Available,Not Available,Not Available,Not Available
1000570300120,ULB ROAD,G.V.RESIDENCY ROAD,19.05,69.48,Available,Not Available,Not Available,Not Available,Not Available
1000570300121,ULB ROAD,G.V.RESIDENCY ROAD,9.51,25.12,Not Available,Not Available,Not Available,Not Available,Not Available
1000570300122,ULB ROAD,SOWRIPALAYAR ROAD,7.11,27.72,Not Available,Not Available,Available,Not Available,Not Available
1000570300123,ULB ROAD,PERIYAR NAGAR,8.43,1.96,Not Available,Not Available,Not Available,Not Available,Not Available
1000830300100,ULB ROAD,SUBRI STREET,8.90,50.07,Not Available,Not Available,Not Available,Not Available,Not Available
1000830300093,ULB ROAD,UPPARA STREET,10.19,55.93,Not Available,Not Available,Available,Available,Not Available
1000830300082,ULB ROAD,T K MARKET,7.02,31.01,Not Available,Not Available,Available,Available,Not Available
1000830300079,ULB ROAD,T K MARKET,7.42,50.46,Not Available,Not Available,Available,Available,Not Available
1000830300077,ULB ROAD,THIYAGARAYAR STREET,8.39,50.88,Not Available,Not Available,Available,Available,Not Available
1000380300282,ULB ROAD,VILANKURICHI ROAD,16.08,33.96,Not Available,Not Available,Available,Not Available,Not Available
1000830300076,ULB ROAD,VAISYAL STREET,12.48,66.01,Not Available,Not Available,Available,Available,Not Available
1000830300069,ULB ROAD,MUTHU VINAYAGAR STREET,9.81,36.48,Not Available,Not Available,Not Available,Available,Not Available
1000830300066,ULB ROAD,BIG BAZAR STREET,9.04,59.30,Not Available,Not Available,Available,Not Available,Not Available
1000830300064,ULB ROAD,THIYAGARAYAR STREET,14.90,3.75,Not Available,Not Available,Not Available,Available,Not Available
1000830300063,ULB ROAD,T K MARKET,7.42,11.18,Not Available,Not Available,Not Available,Available,Not Available
1000830300059,ULB ROAD,T K MARKET,1.85,79.43,Not Available,Not Available,Available,Available,Not Available
1000830300056,ULB ROAD,RANGAI STREET,7.78,71.92,Not Available,Not Available,Available,Available,Not Available
1000830300052,ULB ROAD,VAISYAL STREET,2.04,25.05,Not Available,Not Available,Available,Not Available,Not Available
1000830300045,ULB ROAD,PAVALAM STREET - I,6.52,60.42,Not Available,Not Available,Available,Available,Not Available
1000830300039,ULB ROAD,RAJA STREET,6.85,16.13,Not Available,Not Available,Available,Available,Not Available
1000830300036,ULB ROAD,TELUGU STREET,7.63,3.39,Not Available,Not Available,Not Available,Available,Not Available
1000830300026,ULB ROAD,VAISYAL STREET,12.36,84.27,Not Available,Not Available,Available,Available,Not Available
1000830300018,ULB ROAD,RANGAI STREET,12.33,52.23,Not Available,Not Available,Available,Available,Not Available
1000830300017,ULB ROAD,TELUGU STREET,1.24,56.72,Not Available,Not Available,Available,Available,Not Available
1000830300016,ULB ROAD,SUBRI STREET,7.06,9.92,Not Available,Not Available,Not Available,Available,Not Available
1000830300013,ULB ROAD,SUBRI STREET,1.00,53.24,Not Available,Not Available,Not Available,Available,Not Available
1000830300007,ULB ROAD,RAJA STREET,19.79,37.43,Not Available,Not Available,Available,Available,Not Available
1000830300003,ULB ROAD,RAJA STREET,10.90,13.25,Not Available,Not Available,Not Available,Available,Not Available
1000840300002,ULB ROAD,VAISYAL STREET,7.98,117.36,Not Available,Not Available,Available,Available,Not Available
1000840300004,ULB ROAD,UKKADAM BYPASS ROAD,14.62,160.30,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300005,ULB ROAD,UKKADAM BYPASS ROAD,14.62,202.43,Not Available,Not Available,Not Available,Not Available,Not Available
1000740300033,ULB ROAD,BHARATHI NAGAR,9.30,47.72,Not Available,Not Available,Available,Not Available,Not Available
1000740300034,ULB ROAD,BHARATHI NAGAR I,3.63,232.67,Not Available,Not Available,Available,Not Available,Not Available
1000570300124,ULB ROAD,PERIYAR NAGAR,6.35,26.07,Not Available,Not Available,Available,Not Available,Not Available
1000570300125,ULB ROAD,SOWRIPALAYAR ROAD,4.86,10.66,Not Available,Not Available,Not Available,Not Available,Not Available
1000570300126,ULB ROAD,MAHALAKSHMI KOVIL STREET,4.31,52.88,Not Available,Not Available,Not Available,Not Available,Not Available
1000570300127,ULB ROAD,G.V.RESIDENCY ROAD,6.99,63.61,Available,Not Available,Available,Not Available,Not Available
1000570300128,ULB ROAD,PERIYAR NAGAR,5.03,41.19,Not Available,Not Available,Available,Not Available,Not Available
1000860300267,ULB ROAD,VALLAL NAGAR,6.23,47.76,Not Available,Not Available,Available,Not Available,Not Available
1000840300008,ULB ROAD,RAMAR KOVIL STREET,8.79,61.82,Not Available,Not Available,Available,Available,Not Available
1000840300009,ULB ROAD,RAMAR KOVIL STREET,6.55,16.40,Not Available,Not Available,Not Available,Available,Not Available
1000840300010,ULB ROAD,UKKADAM BYPASS ROAD,41.28,392.79,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300012,ULB ROAD,RAMAR KOVIL STREET,5.45,111.89,Not Available,Not Available,Available,Available,Not Available
1000840300013,ULB ROAD,SLAUGHTER HOUSE ROAD,3.37,123.55,Not Available,Not Available,Available,Available,Not Available
1000840300014,ULB ROAD,SLAUGHTER HOUSE ROAD,5.06,54.89,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300015,ULB ROAD,RAMAR KOVIL STREET,10.74,36.01,Not Available,Not Available,Available,Available,Not Available
1000840300016,ULB ROAD,RAMAR KOVIL STREET,7.97,6.53,Not Available,Not Available,Not Available,Available,Not Available
1000840300017,ULB ROAD,RAMAR KOVIL STREET,6.48,36.11,Not Available,Not Available,Available,Available,Not Available
1000840300018,ULB ROAD,RAJU CHETTIAR STREET,15.47,30.51,Not Available,Not Available,Not Available,Available,Not Available
1000840300019,ULB ROAD,SLAUGHTER HOUSE ROAD,2.05,50.05,Not Available,Not Available,Available,Not Available,Not Available
1000840300020,ULB ROAD,MOHAMED KANI STREET,7.18,111.73,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300021,ULB ROAD,MOHAMED KANI STREET,14.08,79.81,Not Available,Not Available,Available,Available,Not Available
1000840300022,ULB ROAD,RAMAR KOVIL STREET,13.17,60.39,Not Available,Not Available,Available,Available,Not Available
1000840300023,ULB ROAD,AYYAN KOVIL STREET,6.22,97.07,Not Available,Not Available,Available,Not Available,Not Available
1000840300024,ULB ROAD,RAMAR KOVIL STREET,8.06,88.08,Not Available,Not Available,Available,Available,Not Available
1000840300025,ULB ROAD,RAMAR KOVIL STREET,11.06,75.81,Not Available,Not Available,Available,Available,Not Available
1000840300026,ULB ROAD,AYYASAMY KOVIL STREET,11.29,49.56,Not Available,Not Available,Available,Available,Not Available
1000840300027,ULB ROAD,RANGAI STREET,8.13,55.37,Not Available,Not Available,Not Available,Available,Not Available
1000840300028,ULB ROAD,RANGAI STREET,7.16,45.86,Not Available,Not Available,Available,Available,Not Available
1000840300029,ULB ROAD,RAMAR KOVIL STREET,9.26,88.25,Not Available,Not Available,Available,Available,Not Available
1000840300030,ULB ROAD,RAMAR KOVIL STREET,1.45,46.34,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300031,ULB ROAD,AYYASAMY KOVIL STREET,7.56,204.58,Not Available,Not Available,Available,Available,Not Available
1000840300032,ULB ROAD,RAJU CHETTIAR STREET,8.85,110.45,Not Available,Not Available,Available,Available,Not Available
1000840300034,ULB ROAD,RANGAI STREET,12.33,60.02,Not Available,Not Available,Available,Available,Not Available
1000840300036,ULB ROAD,RAMAR KOVIL STREET,5.02,56.83,Not Available,Not Available,Available,Available,Not Available
1000840300037,ULB ROAD,RAJU CHETTIAR STREET,9.80,63.08,Not Available,Not Available,Not Available,Available,Not Available
1000840300038,ULB ROAD,PATTAKARA AYYASAMY KOVIL STREET,14.74,28.16,Not Available,Not Available,Not Available,Available,Not Available
1000740300035,ULB ROAD,NATARAJAN COLONY,5.57,42.25,Not Available,Not Available,Available,Not Available,Not Available
1000740300036,ULB ROAD,NATARAJAN COLONY,2.87,89.57,Not Available,Not Available,Not Available,Not Available,Not Available
1000540300144,ULB ROAD,DR.NANJAPPA ROAD,20.82,283.87,Available,Not Available,Available,Available,Not Available
1000540300132,ULB ROAD,BHARATHIYAR ROAD,25.86,156.85,Available,Not Available,Available,Not Available,Not Available
1000840300039,ULB ROAD,PATTAKARA AYYASAMY KOVIL STREET,10.55,23.50,Not Available,Not Available,Available,Available,Not Available
1000840300040,ULB ROAD,PATTAKARA AYYASAMY KOVIL STREET,6.10,47.71,Not Available,Not Available,Available,Available,Not Available
1000840300041,ULB ROAD,PATTAKARA AYYASAMY KOVIL STREET,11.50,58.13,Not Available,Not Available,Available,Available,Not Available
1000840300042,ULB ROAD,AYYASAMY KOVIL STREET,10.22,59.40,Not Available,Not Available,Available,Available,Not Available
1000840300043,ULB ROAD,RAJU CHETTIAR STREET,6.62,96.23,Not Available,Not Available,Available,Available,Not Available
1000840300044,ULB ROAD,AYYASAMY KOVIL STREET,6.92,93.60,Not Available,Not Available,Not Available,Available,Not Available
1000840300045,ULB ROAD,RAMAR KOVIL STREET,6.22,42.13,Not Available,Not Available,Available,Available,Not Available
1000840300046,ULB ROAD,DHARMARAJA KOVIL STREET,3.47,94.51,Not Available,Not Available,Available,Not Available,Not Available
1000840300047,ULB ROAD,KAMPATTI COLONY 2,5.75,53.82,Not Available,Not Available,Available,Not Available,Not Available
1000840300048,ULB ROAD,DHARMARAJA KOVIL STREET,3.67,7.10,Not Available,Not Available,Available,Not Available,Not Available
1000840300049,ULB ROAD,ANGALAMMAN KOVIL STREET,3.42,97.63,Not Available,Not Available,Available,Not Available,Not Available
1000840300050,ULB ROAD,L.G.THOTTAM,2.21,37.95,Not Available,Not Available,Available,Not Available,Not Available
1000840300051,ULB ROAD,L.G.THOTTAM,2.82,37.51,Not Available,Not Available,Available,Not Available,Not Available
1000840300052,ULB ROAD,L.G.THOTTAM,2.58,28.88,Not Available,Not Available,Available,Not Available,Not Available
1000840300053,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,6.87,34.31,Not Available,Not Available,Available,Available,Not Available
1000840300054,ULB ROAD,KAMPATTI COLONY 5,4.37,50.74,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300055,ULB ROAD,KAMPATTI COLONY 4,2.89,103.46,Not Available,Not Available,Available,Not Available,Not Available
1000840300056,ULB ROAD,KAMPATTI COLONY 3,5.09,50.14,Not Available,Not Available,Available,Not Available,Not Available
1000840300057,ULB ROAD,DHARMARAJA KOVIL STREET,7.82,55.20,Not Available,Not Available,Available,Not Available,Not Available
1000840300058,ULB ROAD,KAMPATTI COLONY 2,5.75,76.48,Not Available,Not Available,Available,Not Available,Not Available
1000840300059,ULB ROAD,KAMPATTI COLONY 2,5.75,69.44,Not Available,Not Available,Available,Not Available,Not Available
1000840300060,ULB ROAD,DHARMARAJA KOVIL STREET,5.27,52.56,Not Available,Not Available,Available,Not Available,Not Available
1000840300061,ULB ROAD,DHARMARAJA KOVIL STREET,4.05,62.80,Not Available,Not Available,Available,Not Available,Not Available
1000840300062,ULB ROAD,L.G.THOTTAM,2.21,33.55,Not Available,Not Available,Available,Not Available,Not Available
1000840300063,ULB ROAD,DHARMARAJA KOVIL STREET,3.35,115.66,Not Available,Not Available,Available,Not Available,Not Available
1000840300064,ULB ROAD,KAMPATTI COLONY 1,3.61,53.17,Not Available,Not Available,Available,Not Available,Not Available
1000840300065,ULB ROAD,KAMPATTI COLONY 1,2.59,46.00,Not Available,Not Available,Available,Not Available,Not Available
1000840300066,ULB ROAD,KAMPATTI COLONY 6,2.55,68.12,Not Available,Not Available,Available,Not Available,Not Available
1000840300067,ULB ROAD,DHARMARAJA KOVIL STREET,5.67,3.49,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300068,ULB ROAD,L.G.THOTTAM,2.39,30.15,Not Available,Not Available,Available,Not Available,Not Available
1000840300069,ULB ROAD,KAMPATTI COLONY 2,3.49,45.63,Not Available,Not Available,Available,Not Available,Not Available
1000840300070,ULB ROAD,ANGALAMMAN KOVIL STREET,1.47,61.67,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300071,ULB ROAD,DHARMARAJA KOVIL LANE,2.57,90.11,Not Available,Not Available,Available,Not Available,Not Available
1000840300072,ULB ROAD,L.G.THOTTAM,2.39,31.94,Not Available,Not Available,Available,Not Available,Not Available
1000840300073,ULB ROAD,PATTAKARA AYYASAMY KOVIL STREET,3.30,109.52,Not Available,Not Available,Available,Not Available,Not Available
1000840300074,ULB ROAD,RAMAR KOVIL STREET,5.39,53.16,Not Available,Not Available,Available,Available,Not Available
1000840300075,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,3.85,56.01,Not Available,Not Available,Available,Not Available,Not Available
1000840300076,ULB ROAD,PALAYAM THOTTAM,6.08,19.92,Not Available,Not Available,Available,Not Available,Not Available
1000840300077,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,7.49,61.37,Not Available,Not Available,Available,Not Available,Not Available
1000840300078,ULB ROAD,PALAYAM THOTTAM,6.08,23.99,Not Available,Not Available,Available,Not Available,Not Available
1000840300079,ULB ROAD,PALAYAM THOTTAM,5.00,110.33,Not Available,Not Available,Available,Not Available,Not Available
1000840300080,ULB ROAD,PALAYAM THOTTAM,6.08,18.80,Not Available,Not Available,Available,Not Available,Not Available
1000840300081,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,4.40,55.43,Not Available,Not Available,Available,Not Available,Not Available
1000840300082,ULB ROAD,NADAR STREET,7.74,56.99,Not Available,Not Available,Available,Not Available,Not Available
1000840300083,ULB ROAD,PALAYAM THOTTAM FOURTH CROSS,4.67,111.05,Not Available,Not Available,Available,Not Available,Not Available
1000840300084,ULB ROAD,PALAYAM THOTTAM,8.61,33.93,Not Available,Not Available,Available,Not Available,Not Available
1000840300085,ULB ROAD,PALAYAM THOTTAM,5.65,27.28,Not Available,Not Available,Available,Not Available,Not Available
1000840300086,ULB ROAD,PALAYAM THOTTAM,4.67,96.47,Not Available,Not Available,Available,Available,Not Available
1000840300087,ULB ROAD,PALAYAM THOTTAM THIRD CROSS,4.52,110.88,Not Available,Not Available,Available,Not Available,Not Available
1000840300088,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,2.07,55.26,Not Available,Not Available,Available,Not Available,Not Available
1000840300089,ULB ROAD,NAIKAR THOTTAM LANE,14.60,121.76,Not Available,Not Available,Available,Available,Not Available
1000840300090,ULB ROAD,NADAR STREET,2.56,137.74,Not Available,Not Available,Available,Available,Not Available
1000840300091,ULB ROAD,NADAR STREET,2.42,35.94,Not Available,Not Available,Available,Available,Not Available
1000840300092,ULB ROAD,NADAR STREET,3.14,94.01,Not Available,Not Available,Available,Available,Not Available
1000840300093,ULB ROAD,NADAR STREET,2.01,34.21,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300094,ULB ROAD,NADAR STREET,4.75,62.83,Not Available,Not Available,Available,Not Available,Not Available
1000840300095,ULB ROAD,NADAR STREET,3.68,40.37,Not Available,Not Available,Available,Not Available,Not Available
1000840300096,ULB ROAD,NADAR STREET,2.51,34.72,Not Available,Not Available,Not Available,Available,Not Available
1000840300097,ULB ROAD,NADAR STREET,5.48,42.53,Not Available,Not Available,Available,Available,Not Available
1000840300098,ULB ROAD,VAISYAL STREET,9.50,105.21,Not Available,Not Available,Available,Not Available,Not Available
1000840300099,ULB ROAD,NADAR STREET,9.26,142.29,Not Available,Not Available,Available,Available,Not Available
1000840300100,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,6.66,48.21,Not Available,Not Available,Available,Not Available,Not Available
1000840300101,ULB ROAD,KAMPATTI COLONY ROAD,10.84,69.26,Not Available,Not Available,Available,Available,Not Available
1000840300102,ULB ROAD,KAMPATTI COLONY ROAD,3.49,26.80,Not Available,Not Available,Available,Not Available,Not Available
1000840300103,ULB ROAD,KAMPATTI COLONY ROAD,2.99,29.28,Not Available,Not Available,Available,Not Available,Not Available
1000840300104,ULB ROAD,L.G.THOTTAM HOUSING UNIT,3.08,80.04,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300105,ULB ROAD,KAMPATTI COLONY 7,7.40,94.55,Not Available,Not Available,Available,Not Available,Not Available
1000840300106,ULB ROAD,L.G.THOTTAM HOUSING UNIT,2.17,87.97,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300107,ULB ROAD,LAKSHMI THEATRE ROAD,11.70,107.65,Not Available,Not Available,Available,Not Available,Not Available
1000840300108,ULB ROAD,KAMPATTI COLONY 7,6.38,141.44,Not Available,Not Available,Available,Not Available,Not Available
1000840300109,ULB ROAD,KAMPATTI COLONY ROAD,9.79,52.91,Not Available,Not Available,Available,Available,Not Available
1000840300110,ULB ROAD,KAMPATTI COLONY ROAD,8.57,119.53,Not Available,Not Available,Available,Available,Not Available
1000840300111,ULB ROAD,LAKSHMI THEATRE ROAD,8.91,153.09,Not Available,Not Available,Available,Available,Not Available
1000840300112,ULB ROAD,LAKSHMI THEATRE ROAD,10.38,30.53,Not Available,Not Available,Available,Available,Not Available
1000840300113,ULB ROAD,KAMPATTI COLONY 7,6.38,18.57,Not Available,Not Available,Available,Not Available,Not Available
1000840300114,ULB ROAD,KAMPATTI COLONY 7,6.38,13.76,Not Available,Not Available,Available,Not Available,Not Available
1000840300115,ULB ROAD,BHARATHI NAGAR,4.59,77.27,Not Available,Not Available,Available,Not Available,Not Available
1000840300116,ULB ROAD,KAMPATTI COLONY 7,8.32,50.87,Not Available,Not Available,Available,Not Available,Not Available
1000840300117,ULB ROAD,BHARATHI NAGAR,5.28,79.90,Not Available,Not Available,Available,Not Available,Not Available
1000840300118,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,7.67,19.81,Not Available,Not Available,Not Available,Available,Not Available
1000840300119,ULB ROAD,BHARATHI NAGAR,5.28,169.85,Not Available,Not Available,Available,Not Available,Not Available
1000840300120,ULB ROAD,UKKADAM BYPASS ROAD,14.62,135.59,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300121,ULB ROAD,AYYASAMY KOVIL STREET,3.32,82.43,Not Available,Not Available,Available,Not Available,Not Available
1000840300122,ULB ROAD,SLAUGHTER HOUSE ROAD,2.77,111.82,Not Available,Not Available,Available,Not Available,Not Available
1000840300123,ULB ROAD,KALLAPPAN SANDHU,1.77,84.93,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300124,ULB ROAD,LAKSHMI THEATRE ROAD,20.34,44.11,Not Available,Not Available,Available,Not Available,Not Available
1000840300125,ULB ROAD,LAKSHMI THEATRE ROAD,3.97,123.10,Not Available,Not Available,Available,Available,Not Available
1000840300126,ULB ROAD,SLAUGHTER HOUSE ROAD,3.73,54.48,Not Available,Not Available,Available,Not Available,Not Available
1000840300127,ULB ROAD,KAMPATTI COLONY ROAD,1.57,33.00,Not Available,Not Available,Available,Not Available,Not Available
1000840300128,ULB ROAD,PALAYAM THOTTAM,1.30,56.65,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300129,ULB ROAD,PALAYAM THOTTAM,1.68,37.62,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300130,ULB ROAD,PALAYAM THOTTAM,1.43,70.76,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300131,ULB ROAD,NADAR STREET,4.75,50.41,Not Available,Not Available,Available,Not Available,Not Available
1000840300132,ULB ROAD,KUPPANA NAYAKKAR STREET,1.51,102.96,Not Available,Not Available,Available,Not Available,Not Available
1000840300133,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,1.94,59.01,Not Available,Not Available,Available,Not Available,Not Available
1000840300134,ULB ROAD,BHARATHI NAGAR,5.28,125.44,Not Available,Not Available,Available,Not Available,Not Available
1000840300135,ULB ROAD,KAMPATTI COLONY ROAD,8.57,39.51,Not Available,Not Available,Available,Available,Not Available
1000840300136,ULB ROAD,RAMAR KOVIL STREET,5.39,45.91,Not Available,Not Available,Not Available,Available,Not Available
1000840300137,ULB ROAD,RAMAR KOVIL STREET,5.57,26.41,Not Available,Not Available,Not Available,Available,Not Available
1000840300138,ULB ROAD,RAMAR KOVIL STREET,5.39,19.97,Not Available,Not Available,Available,Available,Not Available
1000840300139,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,9.77,4.12,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300140,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,9.67,21.55,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300141,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,9.67,2.13,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300142,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,6.10,12.37,Not Available,Not Available,Not Available,Available,Not Available
1000840300143,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,6.47,115.09,Not Available,Not Available,Available,Not Available,Not Available
1000840300144,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,6.87,51.97,Not Available,Not Available,Available,Available,Not Available
1000840300145,ULB ROAD,KAMPATTI COLONY 4,2.89,52.66,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300146,ULB ROAD,KAMPATTI COLONY 1,5.75,33.61,Not Available,Not Available,Available,Not Available,Not Available
1000840300147,ULB ROAD,KAMPATTI COLONY 2,2.59,46.44,Not Available,Not Available,Available,Not Available,Not Available
1000840300148,ULB ROAD,KAMPATTI COLONY 4,2.59,51.66,Not Available,Not Available,Available,Not Available,Not Available
1000840300149,ULB ROAD,KAMPATTI COLONY HOUSING UNIT,7.62,27.22,Not Available,Not Available,Available,Available,Not Available
1000840300150,ULB ROAD,RAMAR KOVIL STREET,5.39,45.82,Not Available,Not Available,Available,Available,Not Available
1000840300151,ULB ROAD,RAMAR KOVIL STREET,5.39,32.37,Not Available,Not Available,Available,Available,Not Available
1000840300152,ULB ROAD,RAMAR KOVIL STREET,5.25,5.55,Not Available,Not Available,Not Available,Available,Not Available
1000840300153,ULB ROAD,RAMAR KOVIL STREET,3.26,105.58,Not Available,Not Available,Available,Available,Not Available
1000840300154,ULB ROAD,ANGALAMMAN KOVIL STREET,3.57,45.01,Not Available,Not Available,Available,Not Available,Not Available
1000840300155,ULB ROAD,AYYASAMY KOVIL STREET,8.08,36.46,Not Available,Not Available,Not Available,Available,Not Available
1000840300156,ULB ROAD,PATTAKARA AYYASAMY KOVIL STREET,6.10,64.03,Not Available,Not Available,Available,Available,Not Available
1000840300157,ULB ROAD,RAMAR KOVIL STREET,5.83,27.66,Not Available,Not Available,Not Available,Available,Not Available
1000840300158,ULB ROAD,SLAUGHTER HOUSE ROAD,5.57,9.44,Not Available,Not Available,Not Available,Not Available,Not Available
1000840300159,ULB ROAD,KAMPATTI COLONY 3,3.27,54.04,Not Available,Not Available,Available,Not Available,Not Available
1000840300160,ULB ROAD,KAMPATTI COLONY 3,5.07,71.42,Not Available,Not Available,Available,Not Available,Not Available
